iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,continent,,Flag,,gdp_per_capita,,,,,
FRA,France,2020,276.634,4.238,,6.585,0.101,21.254,0.326,2.529,0.039,80.911,1.24,161.335,2.472,4.019,0.062,-12.44,-39.297,,,,,,38728.681,694.052,19032.609,169.645,3563.982,15129.765,138.628,,0.79,0.4,0.15,0.58,1.09,1.46,1.35,2.28,1.61,2.41,0.95,1.45,2.55,1.48,,,,,,,,,65273512,44747,,,,Europe,,,,44747,2022,38959,2020,39030,2020
GUF,French Guiana,2020,0.728,2.439,,,,,,,,,,0.728,2.439,,,0,0,,,,,,27.49,,,,,27.49,,,0,,,,,0.01,,0,,,,,0,,,,,,,,,,298682,17375,,,,South America,,,,17375,,,,,
PYF,French Polynesia,2020,0.828,2.949,,,,,,,,,,0.828,2.949,,,0.14,0.001,,,,,,28.784,,,,,28.784,,,0,,,,,0.01,,0,,,,,0,,,,,,,,,,280904,1,,,,Oceania,,,,1,,20707,2020,14324,2000
GAB,Gabon,2020,4.298,1.931,,0.19,0.085,,,1.627,0.731,0.718,0.323,1.763,0.792,,,-4.22,-0.19,,,,,,258.407,3.792,,131.242,19.093,104.281,,,0.01,0.01,,0.37,0.01,0.02,,0.02,0.01,,0.74,0.01,0.02,,,,,,,,,,2225728,10390,,,,Africa,,,,10390,2022,6789,2020,7006,2020
GMB,Gambia,2020,0.5,0.207,,,,,,,,0.004,0.002,0.496,0.205,,,-8.6,-0.047,,,,,,13.966,,,,0.07,13.896,,,0,,,,0,0,,0,,,,0,0,,,,,,,,,,2416664,844,,,,Africa,,,,844,2022,757,2020,787,2020
GEO,Georgia,2020,9.968,2.499,,0.798,0.2,1.177,0.295,,,4.77,1.196,3.223,0.808,,,-4.89,-0.512,,,,,,659.381,18.468,82.633,,245.244,310.273,,,0.03,0.05,0.01,,0.06,0.03,,0.04,0.04,0.01,,0.1,0.05,,,,,,,,,,3989175,5618,,,,Asia,,,,5618,2022,3984,2020,4279,2020
DEU,Germany,2020,644.31,7.69,,13.287,0.159,199.077,2.376,2.017,0.024,170.733,2.038,250.681,2.992,8.515,0.102,-9.43,-67.117,,,,,,92635.615,1193.302,64436.172,91.936,7007.446,19619.316,287.443,,1.85,0.82,1.42,0.46,2.31,2.26,2.86,5.46,2.76,8.17,0.52,2.86,3.31,3.07,,,,,,,,,83783945,51104,,,,Europe,,,,51104,2022,45909,2020,46208,2020
GHA,Ghana,2020,16.001,0.515,,1.55,0.05,,,0.399,0.013,3.249,0.105,10.803,0.348,,,-5.42,-0.917,,,,,,371.319,33.075,,1.198,20.695,312.187,,,0.05,0.1,,0.09,0.04,0.1,,0.02,0.08,,0.01,0.01,0.05,,,,,,,,,,31072945,2303,,,,Africa,,,,2303,2022,2206,2020,2329,2020
GRC,Greece,2020,52.235,5.012,,3.36,0.322,9.459,0.908,0.009,0.001,11.001,1.056,27.834,2.67,0.571,0.055,-20.54,-13.501,,,,,,4073.671,280,1626.463,0.416,156.544,1985.214,25.034,,0.15,0.21,0.07,0,0.15,0.25,0.19,0.24,0.65,0.21,0,0.06,0.33,0.27,,,,,,,,,10423056,20940,,,,Europe,,,,20940,2022,18117,2020,17623,2020
GRL,Greenland,2020,0.514,9.061,,,,,,,,,,0.514,9.061,,,-7.08,-0.039,,,,,,33.05,,,,,30.876,,,0,,,,,0,,0,,,,,0.01,,,,,,,,,,56772,1,,,,North America,,,,1,,55139,2020,53041,2019
GRD,Grenada,2020,0.295,2.62,,,,,,,,,,0.295,2.62,,,-11.27,-0.037,,,,,,8.263,,,,,8.263,,,0,,,,,0,,0,,,,,0,,,,,,,,,,112519,10472,,,,North America,,,,10472,2022,9273,2020,9262,2020
GLP,Guadeloupe,2020,2.562,6.403,,,,0.469,1.172,,,,,2.093,5.231,,,0,0,,,,,,83.818,,10.195,,,73.623,,,0.01,,0,,,0.02,,0,,0,,,0.01,,,,,,,,,,400127,25479,,,,North America,,,,25479,,,,,
GTM,Guatemala,2020,18.938,1.057,,1.473,0.082,5.44,0.304,,,,,12.025,0.671,,,-13.66,-2.996,,,,,,444.931,35.23,49.757,,,359.504,,,0.05,0.09,0.04,,,0.11,,0.03,0.08,0.01,,,0.06,,,,,,,,,,17915567,4864,,,,North America,,,,4864,2022,4332,2020,4603,2020
GIN,Guinea,2020,3.394,0.258,,,,,,,,,,3.394,0.258,,,-8.69,-0.323,,,,,,86.235,,,,,86.235,,,0.01,,,,,0.03,,0.01,,,,,0.01,,,,,,,,,,13132792,1428,,,,Africa,,,,1428,2022,1179,2020,1194,2020
GNB,Guinea-Bissau,2020,0.287,0.146,,,,,,,,,,0.287,0.146,,,-8.69,-0.027,,,,,,10.094,,,,,10.094,,,0,,,,,0,,0,,,,,0,,,,,,,,,,1967998,873,,,,Africa,,,,873,2022,668,2020,728,2020
GUY,Guyana,2020,2.213,2.813,,0.162,0.206,,,,,,,2.051,2.608,,,-11.01,-0.274,,,,,,100.59,0.841,,,,99.717,,,0.01,0.01,,,,0.02,,0.01,0,,,,0.02,,,,,,,,,,786559,17108,,,,South America,,,,17108,2022,6956,2020,6956,2020
HTI,Haiti,2020,2.92,0.256,,0.078,0.007,,,,,,,2.842,0.249,,,-11.23,-0.37,,,,,,76.215,4.291,,,,70.98,,,0.01,0,,,,0.03,,0,0.01,,,,0.01,,,,,,,,,,11402533,1672,,,,North America,,,,1672,2022,1360,2020,1177,2020
HND,Honduras,2020,9.66,0.975,,0.765,0.077,,,,,,,8.894,0.898,,,-10.47,-1.129,,,,,,256.321,20.072,,,,230.756,,,0.03,0.05,,,,0.08,,0.02,0.05,,,,0.04,,,,,,,,,,9904608,2925,,,,North America,,,,2925,2022,2406,2020,2406,2020
HKG,Hong Kong,2020,31.239,4.167,,0.763,0.102,12.789,1.706,,,9.93,1.325,7.756,1.035,,,-25.25,-10.551,,,,,,1620.288,32.89,779.313,,127.886,680.199,,,0.09,0.05,0.09,,0.13,0.07,,0.1,0.08,0.1,,0.05,0.11,,,,,,,,,,7496988,49850,,,,Asia,,,,49850,2022,46611,2020,46324,2020
HUN,Hungary,2020,48.275,4.997,,1.023,0.106,7.657,0.793,0.134,0.014,20.498,2.122,18.42,1.907,0.544,0.056,-1.64,-0.804,,,,,,5010.79,89.075,2611.957,12.673,1014.896,1259.125,23.065,,0.14,0.06,0.05,0.03,0.28,0.17,0.18,0.3,0.21,0.33,0.07,0.41,0.21,0.25,,,,,,,,,9660350,20336,,,,Europe,,,,20336,2022,16129,2020,15981,2020
ISL,Iceland,2020,2.936,8.604,,,,0.685,2.007,0.163,0.478,0,0.001,2.081,6.098,0.007,0.019,-17.31,-0.615,,,,,,151.824,,19.24,4.071,0.005,125.669,0.088,,0.01,,0,0.04,0,0.02,0,0.01,,0,0.02,0,0.02,0,,,,,,,,,341250,74417,,,,Europe,,,,74417,2022,63644,2020,59270,2020
IND,India,2020,2441.792,1.769,,122.908,0.089,1587.552,1.15,1.678,0.001,126.984,0.092,602.67,0.437,,,-7.01,-184.176,,,,,,54416.489,2475.325,35250.945,166.235,2348.802,14175.181,,,7.02,7.56,11.36,0.39,1.72,5.44,,3.21,5.73,4.47,0.93,0.96,2.39,,,,,,,,,,1380004385,2342,,,,Asia,,,,2342,2022,1931,2020,1901,2020
IDN,Indonesia,2020,589.5,2.155,,33.804,0.124,300.518,1.099,11.091,0.04,78.478,0.287,165.61,0.606,,,-10.76,-71.094,,,,,,14399.96,672.867,3737.105,493.654,2440.019,7056.314,,,1.69,2.08,2.15,2.55,1.06,1.5,,0.85,1.56,0.47,2.77,0.99,1.19,,,,,,,,,,273523621,4691,,,,Asia,,,,4691,2022,3870,2020,3870,2020
IRN,Iran,2020,745.035,8.87,,23.877,0.284,5.114,0.061,60.225,0.717,434.227,5.17,221.592,2.638,,,1.59,11.669,,,,,,18914.439,516.436,213.625,1929.558,7019.11,9235.71,,,2.14,1.47,0.04,13.84,5.87,2,,1.11,1.2,0.03,10.84,2.86,1.56,,,,,,,,,,83992953,20261,,,,Asia,,,,20261,2022,11183,2020,2423,2020
IRQ,Iraq,2020,210.829,5.242,,3.493,0.087,,,32.316,0.803,43.428,1.08,131.593,3.272,,,-5.45,-12.162,,,,,,4656.536,124.422,,706.016,421.673,3404.235,,,0.61,0.21,,7.43,0.59,1.19,,0.27,0.29,,3.97,0.17,0.57,,,,,,,,,,40222503,7038,,,,Asia,,,,7038,2022,4146,2020,4158,2020
IRL,Ireland,2020,33.349,6.754,,1.893,0.383,3.345,0.677,0,0,10.815,2.19,16.787,3.4,0.509,0.103,-10.53,-3.927,,,,,,2224.061,71.837,877.414,0.102,294.156,963.354,17.198,,0.1,0.12,0.02,0,0.15,0.15,0.17,0.13,0.17,0.11,0,0.12,0.16,0.18,,,,,,,,,4937796,101509,,,,Europe,,,,101509,2022,86251,2020,85268,2020
ISR,Israel,2020,56.351,6.51,,1.775,0.205,15.406,1.78,,,19.407,2.242,19.763,2.283,,,-9.68,-6.043,,,,,,2379.693,84.694,785.725,,183.82,1325.454,,,0.16,0.11,0.11,,0.26,0.18,,0.14,0.2,0.1,,0.07,0.22,,,,,,,,,,8655541,54688,,,,Asia,,,,54688,2022,47034,2020,44169,2020
ITA,Italy,2020,303.815,5.025,,7.912,0.131,22.704,0.376,2.757,0.046,139.951,2.315,127.438,2.108,3.055,0.05,-10.58,-35.957,,,,,,24739.057,942.909,4710.81,94.449,5355.668,13495.138,140.083,,0.87,0.49,0.16,0.63,1.89,1.15,1.03,1.46,2.18,0.6,0.53,2.18,2.28,1.5,,,,,,,,,60461828,34777,,,,Europe,,,,34777,2022,31238,2020,31714,2020
JAM,Jamaica,2020,7.429,2.509,,0.38,0.128,0.53,0.179,,,0.212,0.072,6.307,2.13,,,-7.65,-0.616,,,,,,452.856,14.478,6.404,,0.845,431.129,,,0.02,0.02,0,,0,0.06,,0.03,0.03,0,,0,0.07,,,,,,,,,,2961161,5730,,,,North America,,,,5730,2022,4665,2020,4665,2020
JPN,Japan,2020,1030.775,8.15,,25.376,0.201,402.979,3.186,0.393,0.003,216.544,1.712,377.382,2.984,8.102,0.064,-6.8,-75.154,,,,,,65625.167,1982.516,23755.657,15.259,6834.271,32745.071,292.394,,2.96,1.56,2.88,0.09,2.93,3.41,2.72,3.87,4.59,3.01,0.09,2.79,5.53,3.13,,,,,,,,,126476458,39243,,,,Asia,,,,39243,2022,39990,2020,40193,2020
JOR,Jordan,2020,25.487,2.498,,1.792,0.176,0.639,0.063,,,8.538,0.837,14.519,1.423,,,-1,-0.258,,,,,,701.302,54.097,6.327,,89.85,551.029,,,0.07,0.11,0,,0.12,0.13,,0.04,0.13,0,,0.04,0.09,,,,,,,,,,10203140,4635,,,,Asia,,,,4635,2022,4283,2020,4283,2020
KAZ,Kazakhstan,2020,291.336,15.516,,3.8,0.202,171.63,9.141,14.622,0.779,48.146,2.564,50.159,2.671,2.978,0.159,-1.53,-4.533,,,,,,13908.24,120.587,9177.079,523.522,1202.322,2805.76,78.97,,0.84,0.23,1.23,3.36,0.65,0.45,1,0.82,0.28,1.16,2.94,0.49,0.47,0.84,,,,,,,,,18776707,10003,,,,Asia,,,,10003,2022,9111,2020,9122,2020
KEN,Kenya,2020,16.146,0.3,,2.184,0.041,1.621,0.03,,,,,12.341,0.23,,,-12,-2.201,,,,,,467.027,50.036,25.767,,,391.224,,,0.05,0.13,0.01,,,0.11,,0.03,0.12,0,,,0.07,,,,,,,,,,53771300,2252,,,,Africa,,,,2252,2022,1879,2020,1838,2020
KIR,Kiribati,2020,0.068,0.57,,,,,,,,,,0.068,0.57,,,0.14,0,,,,,,2.085,,,,,2.085,,,0,,,,,0,,0,,,,,0,,,,,,,,,,119446,1745,,,,Oceania,,,,1745,2022,1515,2020,1671,2020
OWID_KOS,Kosovo,2020,7.89,4.212,,0.333,,5.529,,,,,,2.028,,,,-13.29,-1.21,,,,,,105.637,3.191,78.545,,,23.9,,,0.02,0.02,0.04,,,0.02,,0.01,0.01,0.01,,,0,,,,,,,,,,,5355,,,,Europe,,,,5355,2022,4368,2020,4287,2020
KWT,Kuwait,2020,88.935,20.825,,1.572,0.368,,,1.729,0.405,41.448,9.706,44.186,10.347,,,-7.98,-7.716,,,,,,2877.516,31.674,,284.674,1010.768,1550.4,,,0.26,0.1,,0.4,0.56,0.4,,0.17,0.07,,1.6,0.41,0.26,,,,,,,,,,4270563,38755,,,,Asia,,,,38755,2022,24809,2020,24812,2020
KGZ,Kyrgyzstan,2020,11.508,1.764,,0.753,0.116,4.808,0.737,,,0.668,0.102,5.279,0.809,,,4.45,0.49,,,,,,861.77,32.207,409.49,,86.73,327.789,,,0.03,0.05,0.03,,0.01,0.05,,0.05,0.07,0.05,,0.04,0.06,,,,,,,,,,6524191,1327,,,,Asia,,,,1327,2022,1186,2020,1174,2020
LAO,Laos,2020,33.847,4.652,,1.526,0.21,29.174,4.01,,,,,3.147,0.432,,,-0.25,-0.085,,,,,,178.015,13.2,109.673,,,55.142,,,0.1,0.09,0.21,,,0.03,,0.01,0.03,0.01,,,0.01,,,,,,,,,,7275556,2319,,,,Asia,,,,2319,2022,2623,2020,2630,2020
LVA,Latvia,2020,6.773,3.591,,0.561,0.298,0.093,0.049,0,0,2.085,1.105,3.979,2.11,0.054,0.029,-11.45,-0.875,,,,,,950.275,16.031,152.297,1.559,155.241,623.093,2.055,,0.02,0.03,0,0,0.03,0.04,0.02,0.06,0.04,0.02,0.01,0.06,0.11,0.02,,,,,,,,,1886202,21311,,,,Europe,,,,21311,2022,17871,2020,17726,2020
LBN,Lebanon,2020,25.969,3.805,,2.438,0.357,0.506,0.074,,,,,23.025,3.373,,,-2.58,-0.689,,,,,,733.434,72.156,15.107,,,645.592,,,0.07,0.15,0,,,0.21,,0.04,0.17,0,,,0.11,,,,,,,,,,6825442,4003,,,,Asia,,,,4003,2020,9310,2020,4650,2020
LSO,Lesotho,2020,2.183,1.019,,,,1.531,0.715,,,,,0.652,0.304,,,-5.93,-0.138,,,,,,63.982,,49.526,,,14.456,,,0.01,,0.01,,,0.01,,0,,0.01,,,0,,,,,,,,,,2142252,1213,,,,Africa,,,,1213,2022,1061,2020,861,2020
LBR,Liberia,2020,1.009,0.2,,0.122,0.024,,,,,,,0.887,0.175,,,-7.72,-0.084,,,,,,52.517,2.367,,,,50.151,,,0,0.01,,,,0.01,,0,0.01,,,,0.01,,,,,,,,,,5057677,776,,,,Africa,,,,776,2022,491,2020,583,2020
LBY,Libya,2020,50.721,7.382,,2.402,0.35,,,7.522,1.095,18.196,2.648,22.6,3.289,,,-6.95,-3.788,,,,,,2136.29,72.661,,392.323,441.35,1228.83,,,0.15,0.15,,1.73,0.25,0.2,,0.13,0.17,,2.2,0.18,0.21,,,,,,,,,,6871287,7197,,,,Africa,,,,7197,2022,4243,2020,3699,2020
LIE,Liechtenstein,2020,0.141,3.698,,,,,,,,0.05,1.307,0.091,2.39,,,-4.98,-0.007,,,,,,6.111,,,,1.644,4.466,,,0,,,,0,0,,0,,,,0,0,,,,,,,,,,38137,1,,,,Europe,,,,1,,180227,2020,175814,2019
LTU,Lithuania,2020,13.799,5.069,,0.578,0.212,0.627,0.23,0.234,0.086,4.466,1.64,7.858,2.886,0.037,0.013,-0.89,-0.124,,,,,,1557.847,47.069,184.864,12.327,289.582,1020.587,3.418,,0.04,0.04,0,0.05,0.06,0.07,0.01,0.09,0.11,0.02,0.07,0.12,0.17,0.04,,,,,,,,,2722291,25015,,,,Europe,,,,25015,2022,20772,2020,20234,2020
LUX,Luxembourg,2020,8.175,13.059,,0.395,0.631,0.268,0.428,0,0,1.481,2.367,5.952,9.508,0.079,0.125,-16.18,-1.578,,,,,,753.686,19.86,358.055,0.002,73.649,299.997,2.124,,0.02,0.02,0,0,0.02,0.05,0.03,0.04,0.05,0.05,0,0.03,0.05,0.02,,,,,,,,,625976,135046,,,,Europe,,,,135046,2022,117182,2020,115874,2020
MDG,Madagascar,2020,3.68,0.133,,0.081,0.003,1.308,0.047,,,,,2.291,0.083,,,-9.14,-0.37,,,,,,96.77,2.29,13.442,,,81.038,,,0.01,0.01,0.01,,,0.02,,0.01,0.01,0,,,0.01,,,,,,,,,,27691019,504,,,,Africa,,,,504,2022,470,2020,496,2020
MWI,Malawi,2020,1.395,0.073,,0.09,0.005,0.207,0.011,,,,,1.098,0.057,,,-12.18,-0.194,,,,,,50.701,3.412,12.322,,,34.967,,,0,0.01,0,,,0.01,,0,0.01,0,,,0.01,,,,,,,,,,19129955,545,,,,Africa,,,,545,2022,615,2020,625,2020
MYS,Malaysia,2020,272.607,8.423,,12.016,0.371,102.608,3.17,8.915,0.275,71.954,2.223,77.115,2.383,,,-2.17,-6.052,,,,,,6071.964,263.386,1137.527,287.267,1731.652,2652.132,,,0.78,0.74,0.73,2.05,0.97,0.7,,0.36,0.61,0.14,1.61,0.71,0.45,,,,,,,,,,32365998,13268,,,,Asia,,,,13268,2022,10402,2020,10412,2020
MDV,Maldives,2020,1.796,3.324,,,,,,,,,,1.796,3.324,,,0.14,0.003,,,,,,24.911,,,,,24.911,,,0.01,,,,,0.02,,0,,,,,0,,,,,,,,,,540542,14078,,,,Asia,,,,14078,2022,6924,2020,6924,2020
MLI,Mali,2020,3.39,0.167,,0.256,0.013,,,,,,,3.134,0.155,,,-8.08,-0.298,,,,,,63.319,2.232,,,,61.087,,,0.01,0.02,,,,0.03,,0,0.01,,,,0.01,,,,,,,,,,20250834,897,,,,Africa,,,,897,2022,856,2020,859,2020
MLT,Malta,2020,1.595,3.612,,,,0,0,,,0.702,1.59,0.893,2.022,0,0,-4.45,-0.074,,,,,,104.591,,6.408,,2.645,95.515,0.024,,0,,0,,0.01,0.01,0,0.01,,0,,0,0.02,0,,,,,,,,,441539,33094,,,,Europe,,,,33094,2022,33771,2020,27885,2020
MHL,Marshall Islands,2020,0.151,2.556,,,,,,,,,,0.151,2.556,,,0.14,0,,,,,,3.417,,,,,3.417,,,0,,,,,0,,0,,,,,0,,,,,,,,,,59194,4756,,,,Oceania,,,,4756,2022,4130,2020,4073,2019
MTQ,Martinique,2020,2.348,6.258,,,,,,,,,,2.348,6.258,,,0,0,,,,,,88.274,,,,,88.274,,,0.01,,,,,0.02,,0.01,,,,,0.01,,,,,,,,,,375265,25992,,,,North America,,,,25992,,,,,
MRT,Mauritania,2020,3.377,0.726,,,,,,,,,,3.377,0.726,,,-8.69,-0.321,,,,,,75.633,,,,,75.196,,,0.01,,,,,0.03,,0,,,,,0.01,,,,,,,,,,4649660,2141,,,,Africa,,,,2141,2022,1702,2020,1673,2020
MUS,Mauritius,2020,3.979,3.129,,,,1.495,1.176,,,,,2.484,1.954,,,-9.11,-0.399,,,,,,115.757,,30.737,,,85.02,,,0.01,,0.01,,,0.02,,0.01,,0,,,0.01,,,,,,,,,,1271767,8892,,,,Africa,,,,8892,2022,8587,2020,8628,2020
MYT,Mayotte,2020,0.306,1.12,,,,,,,,,,0.306,1.12,,,0,0,,,,,,6.517,,,,,6.517,,,0,,,,,0,,0,,,,,0,,,,,,,,,,272813,10166,,,,Africa,,,,10166,2022,8326,2020,8329,2020
MEX,Mexico,2020,356.968,2.769,,20.864,0.162,16.936,0.131,,,146.978,1.14,172.189,1.336,,,-18.03,-78.544,,,,,,20075.006,672.507,1496.721,,4171.957,13230.26,,,1.03,1.28,0.12,,1.99,1.56,,1.18,1.56,0.19,,1.7,2.23,,,,,,,,,,128932753,1,,,,North America,,,,1,,173696,2020,190513,2019
MDA,Moldova,2020,5.147,1.276,,0.578,0.143,0.366,0.091,,,1.954,0.484,2.249,0.557,,,-0.18,-0.009,,,,,,1379.219,35.547,403.46,,197.263,739.356,,,0.01,0.04,0,,0.03,0.02,,0.08,0.08,0.05,,0.08,0.12,,,,,,,,,,4033963,5435,,,,Europe,,,,5435,2022,2954,2020,4551,2020
MNG,Mongolia,2020,88.442,6.978,,0.414,0.126,83.61,25.504,,,,,4.417,1.348,,,-0.28,-0.25,,,,,,787.437,5.734,667.326,,,114.377,,,0.25,0.03,0.6,,,0.04,,0.05,0.01,0.08,,,0.02,,,,,,,,,,3278292,5206,,,,Asia,,,,5206,2022,4007,2020,4007,2020
MNE,Montenegro,2020,2.31,3.678,,,,1.388,2.209,,,,,0.922,1.468,,,-12.67,-0.335,,,,,,103.621,,72.977,,,30.609,,,0.01,,0.01,,,0.01,,0.01,,0.01,,,0.01,,,,,,,,,,628062,9673,,,,Europe,,,,9673,2022,7626,2020,7677,2020
MSR,Montserrat,2020,0.025,5.065,,,,,,,,,,0.025,5.065,,,-11.51,-0.003,,,,,,1.618,,,,,1.618,,,0,,,,,0,,0,,,,,0,,,,,,,,,,4999,1,,,,North America,,,,1,,13523,2020,N/A,
MAR,Morocco,2020,64.536,1.748,,5.577,0.151,24.316,0.659,,,1.546,0.042,33.097,0.897,,,-5.4,-3.68,,,,,,1737.595,168.211,447.408,,32.371,1089.605,,,0.19,0.34,0.17,,0.02,0.3,,0.1,0.39,0.06,,0.01,0.18,,,,,,,,,,36910558,3629,,,,Africa,,,,3629,2022,3108,2020,3009,2020
MOZ,Mozambique,2020,6.571,0.21,,0.93,0.03,0.103,0.003,,,1.835,0.059,3.702,0.118,,,-9.83,-0.717,,,,,,177.092,14.969,44.237,,12.877,105.009,,,0.02,0.06,0,,0.02,0.03,,0.01,0.03,0.01,,0.01,0.02,,,,,,,,,,31255435,547,,,,Africa,,,,547,2022,449,2020,449,2020
MMR,Myanmar,2020,36.326,0.668,,1.588,0.029,4.827,0.089,,,10.105,0.186,19.807,0.364,,,0.77,0.278,,,,,,611.491,17.29,52.993,,164.536,371.286,,,0.1,0.1,0.03,,0.14,0.18,,0.04,0.04,0.01,,0.07,0.06,,,,,,,,,,54409794,1285,,,,Asia,,,,1285,2022,1292,2020,1400,2020
NAM,Namibia,2020,3.877,1.526,,0.406,0.16,0.021,0.008,,,,,3.451,1.358,,,-5.02,-0.205,,,,,,76.039,3.159,3.447,,,69.433,,,0.01,0.02,0,,,0.03,,0,0.01,0,,,0.01,,,,,,,,,,2540916,5016,,,,Africa,,,,5016,2022,4215,2020,4211,2020
NRU,Nauru,2020,0.057,5.236,,,,,,,,,,0.057,5.236,,,0.14,0,,,,,,4.858,,,,,4.858,,,0,,,,,0,,0,,,,,0,,,,,,,,,,10834,10005,,,,Oceania,,,,10005,2022,12510,2020,10580,2020
NPL,Nepal,2020,16.958,0.582,,3.435,0.118,6.235,0.214,,,,,7.288,0.25,,,-0.05,-0.009,,,,,,165.884,23.629,45.119,,,97.136,,,0.05,0.21,0.04,,,0.07,,0.01,0.05,0.01,,,0.02,,,,,,,,,,29136808,1203,,,,Asia,,,,1203,2022,1135,2020,1155,2020
NLD,Netherlands,2020,138.1,8.06,,0.006,0,16.723,0.976,1.049,0.061,70.745,4.129,48.409,2.825,1.167,0.068,-10.09,-15.5,,,,,,11739.972,56.445,3840.109,29.149,3876.089,3901.217,36.963,,0.4,0,0.12,0.24,0.96,0.44,0.39,0.69,0.13,0.49,0.16,1.58,0.66,0.4,,,,,,,,,17134873,57836,,,,Europe,,,,57836,2022,53334,2020,52397,2020
NCL,New Caledonia,2020,8.693,30.448,,0.033,0.115,5.77,20.212,,,,,2.889,10.121,,,-0.16,-0.014,,,,,,157.007,1.651,59.383,,,95.973,,,0.02,0,0.04,,,0.03,,0.01,0,0.01,,,0.02,,,,,,,,,,285491,1,,,,Oceania,,,,1,,34006,2020,34789,2019
NZL,New Zealand,2020,33.475,6.942,,0.411,0.085,5.714,1.185,1.021,0.212,7.847,1.627,17.727,3.676,0.756,0.157,-10.72,-4.019,,,,,,1886.569,33.489,626.897,29.651,326.036,846.965,23.53,,0.1,0.03,0.04,0.23,0.11,0.16,0.25,0.11,0.08,0.08,0.17,0.13,0.14,0.25,,,,,,,,,4822233,49847,,,,Oceania,,,,49847,2022,43972,2020,41442,2020
NIC,Nicaragua,2020,5.074,0.766,,0.353,0.053,,,,,,,4.721,0.713,,,-10.57,-0.599,,,,,,177.397,8.77,,,,168.626,,,0.01,0.02,,,,0.04,,0.01,0.02,,,,0.03,,,,,,,,,,6624554,2384,,,,North America,,,,2384,2022,1905,2020,1905,2020
NER,Niger,2020,1.69,0.07,,0.02,0.001,0.341,0.014,,,,,1.329,0.055,,,-8.79,-0.163,,,,,,46.523,0.891,11.973,,,33.66,,,0,0,0,,,0.01,,0,0,0,,,0.01,,,,,,,,,,24206636,599,,,,Africa,,,,599,2022,568,2020,2097,2020
NGA,Nigeria,2020,125.463,0.609,,8.137,0.04,0.106,0,15.348,0.074,39.155,0.19,62.716,0.304,,,-3.57,-4.641,,,,,,3914.991,130.415,70.406,1258.537,712.875,1742.758,,,0.36,0.5,0,3.53,0.53,0.57,,0.23,0.3,0.01,7.07,0.29,0.29,,,,,,,,,,206139587,2356,,,,Africa,,,,2356,2022,2085,2020,2097,2020
NIU,Niue,2020,0.011,7.012,,,,,,,,,,0.011,7.012,,,0.14,0,,,,,,0.29,,,,,0.29,,,0,,,,,0,,0,,,,,0,,,,,,,,,,1618,4666,,,,Oceania,,,,4666,,,,,
